GeneID,Cor,P-Value,Description,GO
BCIN04G00410,0.30837744,0,f-box domain-containing [Botrytis cinerea 1],F:protein binding
BCIN05G01120,0.308222213,0,dienelactone hydrolase family,F:molecular_function
BCIN10G05980,0.308135306,0,hypothetical protein BcDW1_2045,C:cellular_component
BCIN06G01360,0.308117723,0,calcium-dependent kinase,F:ion binding; P:cellular protein modification process; F:kinase activity
BCIN05G01240,0.308002182,0,stomatin family,C:cellular_component
BCIN08G04730,0.30796551,0,"fructose-1,6-bisphosphatase [Botrytis cinerea ]","P:carbohydrate metabolic process; F:fructose 1,6-bisphosphate 1-phosphatase activity; P:dephosphorylation"
BCIN02G06020,0.307885636,0,ran-interacting Mog1 [Botrytis cinerea T4],no GO terms
BCIN11G00630,0.307716846,0,transcription factor c2h2,no GO terms
BCIN01G01120,0.307694742,0,hypothetical protein BofuT4_P145890,P:protein targeting; C:mitochondrion; P:mitochondrion organization
BCIN02G07540,0.307201432,0,c2h2 transcription factor swi5,F:ion binding
BCIN10G03590,0.307169783,0,peroxisomal carrier [Botrytis cinerea 1],P:transmembrane transport; C:cellular_component
BCIN06G07120,0.30713713,0,salicylate hydroxylase,F:oxidoreductase activity; F:ion binding
BCIN09G02820,0.307047711,0,regulator of calcineurin [Botrytis cinerea T4],P:signal transduction; C:intracellular; F:molecular_function
BCIN04G00150,0.307008026,0,hypothetical protein BcDW1_6722,C:cellular_component
BCIN09G03380,0.306855813,0,hypothetical protein BC1G_15954 [Botrytis cinerea B050],no GO terms
BCIN09G00760,0.306664918,0,transcription factor C2H2 [Botrytis cinerea T4],F:ion binding
BCIN10G06000,0.306255501,0,hypothetical protein BcDW1_2043,no GO terms
BCIN03G06150,0.306219331,0,prolyl oligopeptidase,F:molecular_function
BCIN02G06080,0.305991765,0,[Botrytis cinerea ],no GO terms
BCIN15G02270,0.30573858,0,glycogen synthase [Botrytis cinerea ],P:glycogen biosynthetic process; F:glycogen (starch) synthase activity
BCIN16G00850,0.305737575,0,DUF618 domain-containing,no GO terms
BCIN08G04030,0.305579836,0,betaine aldehyde dehydrogenase [Botrytis cinerea 1],F:oxidoreductase activity
BCIN08G04530,0.305372867,0,autophagy-related 3 [Botrytis cinerea T4],C:cytoplasm; P:autophagy; P:transport
BCIN06G05240,0.305204076,0,,no GO terms
BCIN10G02660,0.305099084,0,hypothetical protein BC1G_04690 [Botrytis cinerea B050],P:biological_process; F:lyase activity
BCIN11G04710,0.304893622,0,glycerol dehydrogenase [Botrytis cinerea T4],F:oxidoreductase activity; P:oxidation-reduction process
BCIN08G03530,0.304756479,0,60S ribosomal L34,F:RNA binding; F:structural constituent of ribosome; P:ribosome biogenesis; C:cytosolic large ribosomal subunit; P:translation
BCIN15G02040,0.304560562,0,ER to Golgi transport (Sly41) [Botrytis cinerea T4],C:cellular_component
BCIN07G04130,0.304492242,0,multifunctional beta-oxidation [Botrytis cinerea T4],F:oxidoreductase activity
BCIN02G08550,0.304453058,0,hypothetical protein BofuT4_P067880,no GO terms
BCIN07G01540,0.304073279,0,elongation factor 2 [Botrytis cinerea T4],F:GTP binding; F:translation elongation factor activity; F:GTPase activity; P:translational elongation
BCIN02G00850,0.30406926,0,cytoskeleton assembly control SLA1 [Botrytis cinerea T4],"F:ubiquitin-like protein binding; P:vesicle-mediated transport; P:cytoskeleton organization; F:cytoskeletal protein binding; F:protein binding, bridging"
BCIN11G04150,0.303893437,0,ERB1_BOTFB ame: Full=Ribosome biogenesis erb1 ame: Full=Eukaryotic ribosome biogenesis 1,P:ribosome biogenesis; C:protein complex; P:cellular nitrogen compound metabolic process; C:nucleolus; F:molecular_function; C:nucleoplasm
BCIN05G03230,0.303867817,0,phosphoketolase,F:aldehyde-lyase activity; P:carbohydrate metabolic process; F:catalytic activity; P:metabolic process
BCIN12G02070,0.303829136,0,sulfate transporter,F:transmembrane transporter activity; C:cellular_component
BCIN16G00610,0.303777896,0,hypothetical protein BC1G_14649 [Botrytis cinerea B050],C:nucleus
BCIN07G01090,0.303647284,0,hypothetical protein BofuT4_P116300,no GO terms
BCIN11G04620,0.303512653,0,ADP-ribosylation factor [Botrytis cinerea ],P:signal transduction; F:ion binding; C:intracellular
BCIN07G07060,0.30341369,0,hypothetical protein BcDW1_8892,C:integral component of membrane
BCIN01G01910,0.30331774,0,wd domain-containing,F:protein binding
BCIN15G05360,0.303119311,0,galactose-1-phosphate uridylyltransferase,P:small molecule metabolic process; P:carbohydrate metabolic process; F:nucleotidyltransferase activity; F:ion binding
BCIN08G06200,0.303106752,0,dna polymerase gamma,F:DNA binding; F:nucleotidyltransferase activity; C:mitochondrion; P:biosynthetic process; P:DNA metabolic process
BCIN06G03460,0.302710898,0,vacuolar sorting-associated vps17 [Botrytis cinerea T4],P:vesicle-mediated transport; F:ion binding; C:cytosol; F:lipid binding; C:protein complex
BCIN11G02250,0.302698339,0,nuclear GTP-binding NUG1 [Botrytis cinerea T4],F:GTP binding
BCIN04G05390,0.302658151,0,CIAO1_BOTFB ame: Full=Probable cytosolic iron-sulfur assembly 1,C:nucleus; P:nucleocytoplasmic transport; P:sulfur compound metabolic process; P:cofactor metabolic process; P:cellular component assembly; C:cytosol; P:ribosome biogenesis; P:tRNA metabolic process; C:protein complex; P:biosynthetic process
BCIN13G05150,0.30255115,0,transcription factor bZIP [Botrytis cinerea T4],F:DNA binding; F:nucleic acid binding transcription factor activity; P:cellular nitrogen compound metabolic process; P:biosynthetic process
BCIN03G08410,0.302447665,0,predicted protein,no GO terms
BCIN11G04110,0.302381857,0,,P:transmembrane transport; C:membrane; C:integral component of membrane; F:transporter activity
BCIN08G06270,0.302194981,0,hypothetical protein BC1G_10998,P:metabolic process; F:hydrolase activity
BCIN02G09290,0.301427386,0,histone chaperone [Botrytis cinerea 1],C:nucleus; P:macromolecular complex assembly; F:histone binding; P:chromosome organization; P:cellular protein modification process; P:cellular nitrogen compound metabolic process; P:biosynthetic process
BCIN04G02360,0.30125106,0,c4-dicarboxylate transporter malic acid transport [Botrytis cinerea 1],P:transmembrane transport; C:cellular_component
BCIN11G03360,0.301193792,0,mucin [Botrytis cinerea 1],no GO terms
BCIN05G00680,0.301139035,0,,"F:phosphorelay sensor kinase activity; F:protein binding; P:signal transduction; P:phosphorelay signal transduction system; P:phosphorylation; F:transferase activity, transferring phosphorus-containing groups"
BCIN05G08310,0.301062175,0,hypothetical protein BofuT4_P103150,C:cellular_component
BCIN15G05330,0.300987827,0,putative mmp37-like protein,F:phosphatidate cytidylyltransferase activity; P:cardiolipin biosynthetic process
BCIN07G00310,0.300959695,0,hypothetical protein BC1G_05375,F:oxidoreductase activity; P:oxidation-reduction process
BCIN06G06310,0.300692946,0,hypothetical protein BofuT4_P143390,no IPS match
BCIN09G02730,0.30060855,0,hypothetical protein BofuT4_P054050,F:oxidoreductase activity; F:ion binding
BCIN05G01030,0.300568362,0,xylitol dehydrogenase [Botrytis cinerea ],F:oxidoreductase activity; F:ion binding
BCIN13G04410,0.300394046,0,histone H3,C:nucleus; F:DNA binding; C:chromosome
BCIN14G03090,0.300372445,0,hypothetical protein BC1G_10064,no GO terms
BCIN06G01200,0.300342303,0,DUF757 domain-containing [Botrytis cinerea T4],no GO terms
BCIN13G05630,0.300324219,0,hypothetical protein BC1G_06385 [Botrytis cinerea B050],F:ion binding
BCIN11G00190,0.3001921,0,hypothetical protein BofuT4_P026400,C:cellular_component
BCIN04G05800,0.299911284,0,,
BCIN02G04710,0.299778663,0,,
BCIN16G01350,0.299549088,0,eukaryotic translation initiation factor 5 [Botrytis cinerea T4],F:translation initiation factor activity; P:translational initiation
BCIN07G05750,0.299546576,0,,
BCIN02G05690,0.299377283,0,,
BCIN01G08400,0.299371757,0,,
BCIN16G02050,0.299161774,0,,
BCIN12G00360,0.299059294,0,,
BCIN01G06560,0.2990392,0,,
BCIN10G02620,0.299010063,0,,
BCIN12G00690,0.298880456,0,Bcnrps2,
BCIN04G00250,0.298792544,0,,
BCIN13G04920,0.298364037,0,,
BCIN08G04890,0.298343441,0,arrestin domain-containing [Botrytis cinerea 1],no GO terms
BCIN15G00150,0.298196754,0,,
BCIN01G06500,0.297908905,0,,
BCIN16G02920,0.29778181,0,,
BCIN11G04570,0.297706959,0,,
BCIN11G00220,0.297686363,0,hypothetical protein BC1G_09668,no GO terms
BCIN16G05190,0.297509032,0,,
BCIN10G03800,0.297438703,0,,
BCIN12G03940,0.297415595,0,,
BCIN12G04290,0.297391482,0,,
BCIN01G02840,0.297368876,0,,
BCIN06G07520,0.297047872,0,,
BCIN06G05650,0.297024764,0,,
BCIN16G02630,0.297010196,0,,
BCIN14G05570,0.296940369,0,tyrosinase central domain [Botrytis cinerea T4],F:oxidoreductase activity; F:metal ion binding; P:oxidation-reduction process
BCIN05G07160,0.296786146,0,,
BCIN11G00690,0.296466147,0,,
BCIN10G01240,0.296457105,0,,
BCIN12G00040,0.29631293,0,,
BCIN02G02150,0.296135599,0,,
BCIN12G03180,0.296130073,0,,
BCIN12G05220,0.296127059,0,,
BCIN04G00280,0.296109477,0,,
BCIN02G00220,0.295917578,0,,
BCIN03G05960,0.295771896,0,elongation factor 1 gamma domain-containing [Botrytis cinerea ],F:translation elongation factor activity; P:translational elongation
BCIN16G01440,0.29555287,0,,
BCIN04G06720,0.295478521,0,serine threonine- kinase ssp1 [Botrytis cinerea T4],F:ATP binding; F:protein kinase activity; P:protein phosphorylation
BCIN05G03380,0.295400154,0,,
BCIN02G03580,0.295290641,0,,
BCIN02G01380,0.295206246,0,,
BCIN10G02060,0.295202227,0,oxidoreductase [Botrytis cinerea T4],F:oxidoreductase activity; P:oxidation-reduction process
BCIN04G01690,0.295139935,0,hypothetical protein BofuT4_P115970,F:nucleotide binding; F:nucleic acid binding; F:ATP binding; F:helicase activity; F:hydrolase activity
BCIN16G01160,0.2950897,0,,
BCIN15G02780,0.294914881,0,,
BCIN14G02360,0.294761664,0,,
BCIN12G01450,0.294750612,0,,
BCIN12G03260,0.294742574,0,,
BCIN14G00820,0.294710424,0,,
BCIN11G04350,0.294658681,0,,
BCIN03G04170,0.294547661,0,,
BCIN08G05080,0.293990049,0,,
BCIN11G06460,0.293913189,0,,
BCIN01G09650,0.293890081,0,glucose-6-phosphate 1-dehydrogenase,P:carbohydrate metabolic process; F:NADP binding; P:pentose-phosphate shunt; F:oxidoreductase activity; P:oxidation-reduction process; P:glucose metabolic process; F:glucose-6-phosphate dehydrogenase activity
BCIN03G01090,0.29384286,0,,
BCIN02G07400,0.293799658,0,,
BCIN13G01680,0.293768512,0,,
BCIN13G02240,0.293743394,0,importin subunit beta-4 [Botrytis cinerea T4],P:intracellular protein transport; F:binding; F:Ran GTPase binding
BCIN11G06280,0.293539941,0,,
BCIN01G03020,0.293395766,0,,
BCIN11G02620,0.293336488,0,,
BCIN09G05250,0.293269675,0,,
BCIN02G03300,0.293224966,0,,
BCIN01G06640,0.293172219,0,ATP phosphoribosyltransferase [Botrytis cinerea ],"F:magnesium ion binding; F:transferase activity, transferring glycosyl groups; C:cytoplasm; F:ATP phosphoribosyltransferase activity; P:histidine biosynthetic process; F:transferase activity"
BCIN14G02520,0.292864779,0,U3 small nucleolar ribonucleo IMP4 [Botrytis cinerea T4],C:intracellular ribonucleoprotein complex; C:viral nucleocapsid
BCIN05G00440,0.292757777,0,,
BCIN10G03520,0.292557339,0,,
BCIN01G06220,0.292413666,0,GTP-binding nuclear ran-1 [Botrytis cinerea ],F:nucleotide binding; F:GTP binding; P:nucleocytoplasmic transport; C:nucleus; P:small GTPase mediated signal transduction; P:signal transduction; F:GTPase activity; P:protein transport; P:intracellular protein transport; P:transport
BCIN12G02170,0.292354388,0,,
BCIN03G05740,0.292181076,0,,
BCIN10G03780,0.292031375,0,,
BCIN07G02180,0.292009774,0,,
BCIN08G03080,0.291947984,0,,
BCIN12G01280,0.29191282,0,,
BCIN09G01000,0.291906791,0,,
BCIN10G00460,0.291890716,0,AMP binding domain [Botrytis cinerea T4],F:catalytic activity; P:metabolic process
BCIN16G00120,0.291874138,0,,
BCIN08G04890,0.291827922,0,,
BCIN08G03150,0.291583276,0,,
BCIN15G02660,0.291247704,0,,
BCIN16G03170,0.291218065,0,,
BCIN08G02970,0.291120609,0,pectin methyl esterase [Botrytis cinerea],P:pectin catabolic process; C:cell wall; F:aspartyl esterase activity; C:extracellular region; P:cell wall modification; F:pectinesterase activity
BCIN10G01550,0.290940264,0,peptide transporter [Botrytis cinerea T4],C:integral component of membrane; P:transport; F:transporter activity
BCIN16G01170,0.29087747,0,,
BCIN13G00980,0.290670501,0,,
BCIN04G04630,0.290526325,0,,
BCIN08G05970,0.290462526,0,,
BCIN04G01420,0.290458005,0,,
BCIN06G05390,0.290173673,0,,
BCIN02G04220,0.290017944,0,60S ribosomal L4 [Botrytis cinerea T4],F:structural constituent of ribosome; C:ribosome; P:translation
BCIN09G01230,0.290017442,0,,
BCIN12G01350,0.289922497,0,ubiquitin-activating enzyme E1 1,F:ATP binding; P:cellular protein modification process; F:small protein activating enzyme activity
BCIN16G01240,0.28972256,0,,
BCIN02G05900,0.28969694,0,,
BCIN08G03700,0.289675339,0,cell division control cdc48 [Botrytis cinerea 1],P:cell division; F:ATP binding; F:hydrolase activity
BCIN06G04520,0.289660269,0,catalase [Botrytis cinerea T4],F:peroxidase activity; P:response to oxidative stress; F:oxidoreductase activity; F:metal ion binding; F:catalase activity; P:cellular oxidant detoxification; P:oxidation-reduction process; F:heme binding; P:hydrogen peroxide catabolic process
BCIN09G01150,0.28963716,0,,
BCIN03G07360,0.289597977,0,,
BCIN01G03000,0.28931264,0,inorganic pyrophosphatase,F:magnesium ion binding; F:inorganic diphosphatase activity; C:cytoplasm; P:phosphate-containing compound metabolic process
BCIN04G06240,0.289308119,0,,
BCIN06G02320,0.289225733,0,,
BCIN12G06310,0.289069502,0,,
BCIN01G07690,0.289036346,0,,
BCIN02G00850,0.289026299,0,,
BCIN01G02910,0.288891166,0,,
BCIN12G00670,0.288843443,0,,
BCIN05G08340,0.288839926,0,,
BCIN14G04490,0.288811292,0,,
BCIN13G05260,0.288782156,0,,
BCIN03G03480,0.288714338,0,,
BCIN06G04300,0.288387808,0,pyridoxamine phosphate oxidase [Botrytis cinerea T4],F:pyridoxamine-phosphate oxidase activity; P:pyridoxal phosphate biosynthetic process; F:FMN binding; P:oxidation-reduction process
BCIN12G04090,0.288379268,0,,
BCIN06G00022,0.288364198,0,,
BCIN13G02050,0.288145674,0,,
BCIN04G05050,0.288072331,0,,
BCIN13G01340,0.288000494,0,,
BCIN15G01260,0.287701092,0,,
BCIN12G04150,0.287674467,0,,
BCIN05G03150,0.287551391,0,3-hydroxy-3-methylglutaryl-coenzyme A (HMG- ) reductase isozyme [Botrytis cinerea T4],C:endoplasmic reticulum membrane; F:NADP binding; C:integral component of membrane; P:coenzyme A metabolic process; P:oxidation-reduction process; P:isoprenoid biosynthetic process; F:hydroxymethylglutaryl-CoA reductase (NADPH) activity
BCIN03G00610,0.287293684,0,,
BCIN07G01430,0.287162067,0,,
BCIN10G02230,0.287062099,0,,
BCIN12G00900,0.287003826,0,NAD-dependent epimerase dehydratase,F:coenzyme binding; F:catalytic activity
BCIN13G00980,0.286293499,0,,
BCIN08G01660,0.286258836,0,hypothetical protein BC1G_07889 [Botrytis cinerea B050],F:lipid binding
BCIN08G00240,0.286199056,0,,
BCIN10G05040,0.286106121,0,,
BCIN03G05310,0.285883076,0,importin 13,F:binding
BCIN10G05430,0.285850423,0,40S ribosomal S3 [Botrytis cinerea ],F:RNA binding; F:structural constituent of ribosome; C:small ribosomal subunit; P:translation
BCIN09G05430,0.285836357,0,,
BCIN11G02220,0.28581124,0,,
BCIN06G01310,0.285807221,0,,
BCIN14G05440,0.285752967,0,,
BCIN06G02900,0.28570675,0,,
BCIN14G05010,0.2856746,0,,
BCIN04G05830,0.285661036,0,,
BCIN02G04060,0.285598242,0,,
BCIN02G01420,0.28556157,0,,
BCIN11G03810,0.285342544,0,,
BCIN01G11220,0.285022546,0,,
BCIN02G04270,0.284949704,0,,
BCIN04G02730,0.284946188,0,,
BCIN03G06810,0.284846722,0,,
BCIN09G06230,0.284537775,0,[Botrytis cinerea ],no GO terms
BCIN03G01960,0.284427257,0,,
BCIN12G04280,0.284414196,0,,
BCIN02G09370,0.284404651,0,,
BCIN04G02870,0.284395609,0,,
BCIN09G00120,0.284350397,0,,
BCIN01G02510,0.284245908,0,,
BCIN06G01830,0.284051497,0,,
BCIN03G07550,0.284047478,0,,
BCIN04G03610,0.283987196,0,,
BCIN09G02180,0.283955045,0,,
BCIN04G02520,0.283637558,0,,
BCIN08G00510,0.283451185,0,,
BCIN11G06370,0.283451185,0,,
BCIN04G04260,0.283357245,0,,
BCIN07G01600,0.28334971,0,,
BCIN03G01820,0.283227136,0,60S ribosomal L1 [Botrytis cinerea ],F:RNA binding; F:structural constituent of ribosome; C:large ribosomal subunit; P:translation
BCIN07G05250,0.283201014,0,,
BCIN13G04800,0.283194483,0,,
BCIN13G00550,0.283116116,0,curved DNA-binding [Botrytis cinerea T4],F:DNA binding; F:hydrolase activity
BCIN06G01580,0.283097026,0,,
BCIN11G05510,0.283048298,0,,
BCIN12G00730,0.282981485,0,,
BCIN03G06940,0.282825253,0,"EIF3C_BOTFB, Eukaryotic translation initiation factor 3 subunit C ",C:multi-eIF complex; F:translation initiation factor activity; P:formation of translation preinitiation complex; C:cytoplasmic stress granule; C:eukaryotic 43S preinitiation complex; C:eukaryotic 48S preinitiation complex; F:translation initiation factor binding; P:regulation of translational initiation; C:eukaryotic translation initiation factor 3 complex
BCIN12G03690,0.282811188,0,,
BCIN16G04280,0.282612758,0,,
BCIN02G05510,0.282578598,0,,
BCIN03G05720,0.282488677,0,[Botrytis cinerea ],no GO terms
BCIN01G05830,0.282375145,0,,
BCIN06G06300,0.282373638,0,,
BCIN02G05200,0.282258097,0,,
BCIN03G04970,0.282235993,0,,
BCIN02G04910,0.282208866,0,,
BCIN10G03750,0.282098851,0,,
BCIN15G01360,0.282041583,0,,
BCIN08G06550,0.281998883,0,,
BCIN11G03770,0.281900422,0,,
BCIN08G00010,0.281825069,0,,
BCIN03G09318,0.281657283,0,,
BCIN07G02000,0.281628649,0,,
BCIN05G05310,0.281371444,0,,
BCIN03G04900,0.281353359,0,,
BCIN15G04110,0.281345321,0,,
BCIN04G01060,0.281211193,0,,
BCIN06G06610,0.281208179,0,,
BCIN16G01530,0.281192606,0,,
BCIN10G05630,0.28110369,0,,
BCIN13G01020,0.280851508,0,predicted protein,no GO terms
BCIN16G03660,0.280839954,0,,
BCIN10G01270,0.280673173,0,,
BCIN10G04660,0.280644037,0,,
BCIN09G03810,0.279845798,0,,
BCIN11G05550,0.279814149,0,,
BCIN04G05430,0.279794558,0,,
BCIN02G03870,0.279724731,0,,
BCIN07G00740,0.279706646,0,,
BCIN06G04740,0.279588091,0,,
BCIN07G02820,0.279505202,0,,
BCIN06G03290,0.279483099,0,,
BCIN08G04680,0.27947908,0,WD repeat-containing [Botrytis cinerea T4],F:protein binding
BCIN06G02130,0.279289191,0,,
BCIN09G03810,0.279196758,0,dienelactone hydrolase family,F:hydrolase activity
BCIN08G02620,0.279195753,0,,
BCIN15G00050,0.279087245,0,trichothecene 3-o-acetyltransferase [Botrytis cinerea 1],"F:transferase activity, transferring acyl groups other than amino-acyl groups"
BCIN11G02720,0.279081216,0,alcohol dehydrogenase [Botrytis cinerea ],F:oxidoreductase activity; P:oxidation-reduction process
BCIN04G01390,0.27897522,0,,
BCIN03G06510,0.278772772,0,,
BCIN06G01620,0.278714499,0,,
BCIN08G00440,0.278663259,0,,
BCIN15G03890,0.278575347,0,,
BCIN05G03730,0.278211141,0,,
BCIN15G04480,0.278167436,0,,
BCIN02G02160,0.278138802,0,,
BCIN14G04080,0.277868034,0,,
BCIN12G04150,0.277775099,0,,
BCIN03G04760,0.277717328,0,,
BCIN03G08070,0.277641975,0,,
BCIN03G01970,0.277625397,0,,
BCIN09G05010,0.277624895,0,hypothetical protein BC1G_09860,no GO terms
BCIN11G04090,0.277602289,0,,
BCIN02G05980,0.277432996,0,,
BCIN08G02330,0.277422949,0,,
BCIN13G01310,0.277379244,0,,
BCIN01G03220,0.277173782,0,,
BCIN01G11010,0.276993437,0,,
BCIN02G06650,0.27697485,0,hypothetical protein SS1G_10974 [Sclerotinia sclerotiorum 1980],C:box H/ACA snoRNP complex; C:nucleus; P:pseudouridine synthesis; P:ribosome biogenesis; C:nucleolus
BCIN03G05420,0.276964803,0,,
BCIN03G02230,0.276548855,0,DUF185 domain,no GO terms
BCIN03G06170,0.276467474,0,40S ribosomal S1 [Botrytis cinerea ],F:structural constituent of ribosome; C:intracellular ribonucleoprotein complex; C:cytoplasm; C:cytosolic small ribosomal subunit; C:ribosome; C:intracellular; P:translation
BCIN08G00160,0.276425276,0,,
BCIN01G05490,0.276369012,0,,
BCIN11G01640,0.276230865,0,,
BCIN03G05340,0.276171085,0,,
BCIN11G01690,0.276128888,0,acetate kinase,F:magnesium ion binding; P:organic acid metabolic process; F:ATP binding; P:acetyl-CoA biosynthetic process; P:phosphorylation; C:intracellular; F:acetate kinase activity
BCIN15G03480,0.276041981,0,,
BCIN01G07840,0.275854101,0,,
BCIN07G04200,0.275837523,0,,
BCIN12G00630,0.275802861,0,,
BCIN04G00450,0.275793818,0,,
BCIN06G01590,0.275733034,0,,
BCIN10G03880,0.27571947,0,,
BCIN11G02060,0.275712437,0,,
BCIN02G09280,0.275583835,0,cfia complex component [Botrytis cinerea 1],C:nucleus; P:RNA processing; P:mRNA processing
BCIN10G04610,0.275513505,0,40S ribosomal S7 [Botrytis cinerea ],F:structural constituent of ribosome; C:ribosome; P:translation
BCIN04G06790,0.275388419,0,,
BCIN08G05630,0.275256301,0,,
BCIN11G05650,0.275160853,0,,
BCIN06G03350,0.275102078,0,60S ribosomal L13 [Botrytis cinerea ],F:structural constituent of ribosome; C:ribosome; C:intracellular; P:translation
BCIN12G02880,0.275016678,0,,
BCIN06G05270,0.27483784,0,,
BCIN16G01910,0.274676083,0,,
BCIN10G03500,0.274330966,0,phosphatidylserine decarboxylase proenzyme [Botrytis cinerea T4],C:integral component of membrane; F:phosphatidylserine decarboxylase activity; P:phospholipid biosynthetic process
BCIN02G06820,0.274288266,0,dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex [Botrytis cinerea T4],"F:dihydrolipoyllysine-residue succinyltransferase activity; F:transferase activity, transferring acyl groups; C:oxoglutarate dehydrogenase complex; P:metabolic process; P:tricarboxylic acid cycle; F:transferase activity"
BCIN05G01080,0.274287764,0,,
BCIN05G01420,0.274255111,0,,
BCIN07G02280,0.274180763,0,,
BCIN13G04680,0.274114954,0,,
BCIN01G07760,0.274079287,0,aldo-keto reductase [Botrytis cinerea T4],no GO terms
BCIN03G05290,0.273961234,0,,
BCIN16G03570,0.273895426,0,Bcnrps3,
BCIN13G03500,0.273863276,0,,
BCIN03G02680,0.273789932,0,eukaryotic peptide chain release factor subunit 1,"P:translational termination; P:L-phenylalanine biosynthetic process; C:cytoplasm; P:metabolic process; F:amino acid binding; F:prephenate dehydratase activity; F:translation release factor activity, codon specific"
BCIN01G02320,0.273676903,0,,
BCIN04G05050,0.273559352,0,,
BCIN03G07640,0.273308175,0,,
BCIN06G00060,0.273276025,0,,
BCIN06G00400,0.273229306,0,,
BCIN03G03360,0.273137878,0,transaldolase [Botrytis cinerea T4],P:carbohydrate metabolic process; F:sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity; C:cytoplasm; P:pentose-phosphate shunt; F:catalytic activity; F:transferase activity
BCIN02G02530,0.273042933,0,,
BCIN09G06470,0.273002243,0,,
BCIN06G02390,0.272994205,0,,
BCIN08G04150,0.272883185,0,,
BCIN01G02750,0.272877659,0,,
BCIN07G06370,0.272797785,0,,
BCIN07G00120,0.272759104,0,,
BCIN09G05020,0.272422527,0,glutamate decarboxylase [Botrytis cinerea 1],F:pyridoxal phosphate binding; P:glutamate metabolic process; F:catalytic activity; F:glutamate decarboxylase activity; P:carboxylic acid metabolic process; F:carboxy-lyase activity
BCIN04G01640,0.27241248,0,carbohydrate-binding module family 48,no GO terms
BCIN06G07230,0.272312512,0,,
BCIN12G06580,0.272151759,0,,
BCIN16G02700,0.272046767,0,,
BCIN09G03930,0.272002058,0,,
BCIN03G02130,0.271998541,0,,
BCIN05G07310,0.271971916,0,,
BCIN02G02630,0.271963376,0,dynamin dnm1,F:GTP binding; F:GTPase activity
BCIN03G07400,0.27195132,0,,
BCIN04G00380,0.271949813,0,,
BCIN05G04650,0.271845826,0,,
BCIN04G02230,0.27183176,0,,
BCIN01G08990,0.271561494,0,,
BCIN15G03600,0.271536879,0,,
BCIN04G05880,0.271185734,0,,
BCIN01G06060,0.271031512,0,,
BCIN02G03540,0.27102699,0,40S ribosomal S15 [Botrytis cinerea ],F:RNA binding; F:structural constituent of ribosome; C:intracellular ribonucleoprotein complex; C:small ribosomal subunit; C:ribosome; P:translation
BCIN04G03030,0.270932548,0,eukaryotic translation initiation factor 3 [Botrytis cinerea ],F:translation initiation factor activity; P:formation of translation preinitiation complex; C:cytoplasm; C:eukaryotic 43S preinitiation complex; C:eukaryotic 48S preinitiation complex; P:translational initiation; P:regulation of translational initiation; C:eukaryotic translation initiation factor 3 complex; P:translation
BCIN02G01790,0.270780335,0,tubulin alpha chain [Botrytis cinerea T4],F:nucleotide binding; F:GTP binding; C:cytoskeleton; C:cytoplasm; F:GTPase activity; F:structural constituent of cytoskeleton; C:microtubule; P:microtubule-based process
BCIN06G07020,0.270732612,0,,
BCIN05G02680,0.270639174,0,,
BCIN03G04860,0.270620084,0,,
BCIN16G03970,0.270566835,0,,
BCIN03G04630,0.270555281,0,,
BCIN11G05530,0.270510069,0,,
BCIN15G00430,0.270500022,0,NACHT and Ankyrin domain [Botrytis cinerea T4],F:protein binding
BCIN01G10700,0.270357354,0,,
BCIN02G08550,0.270318673,0,,
BCIN01G03440,0.270286522,0,valyl-trna synthetase,F:nucleotide binding; F:valine-tRNA ligase activity; P:tRNA aminoacylation for protein translation; F:ATP binding; F:aminoacyl-tRNA ligase activity; P:valyl-tRNA aminoacylation; P:regulation of translational fidelity; F:aminoacyl-tRNA editing activity; F:ligase activity; P:translation
BCIN02G01870,0.270076539,0,NADH-dependent flavin oxidoreductase [Botrytis cinerea T4],F:FMN binding; F:oxidoreductase activity; F:catalytic activity; P:oxidation-reduction process
BCIN04G02130,0.270048909,0,,
BCIN13G04270,0.26993588,0,,
BCIN04G00530,0.269924326,0,,
BCIN01G04240,0.269716854,0,hypothetical protein BC1G_12228 [Botrytis cinerea B050],C:membrane; C:integral component of membrane
BCIN03G03170,0.269698769,0,,
BCIN01G05770,0.269647529,0,hypothetical protein BC1G_00442,P:metabolic process; F:hydrolase activity
BCIN14G01300,0.269638487,0,,
BCIN05G01010,0.269523448,0,,
BCIN05G01120,0.269509382,0,dienelactone hydrolase family,F:hydrolase activity
BCIN07G02070,0.269407404,0,,
BCIN10G05410,0.269371737,0,phenylalanyl-tRNA synthetase beta chain [Botrytis cinerea T4],F:magnesium ion binding; F:ATP binding; F:RNA binding; C:cytoplasm; F:phenylalanine-tRNA ligase activity; P:phenylalanyl-tRNA aminoacylation
BCIN05G06330,0.269322004,0,,
BCIN08G05780,0.269302413,0,hypothetical protein BC1G_08963,P:metabolic process; F:hydrolase activity
BCIN10G01400,0.269255191,0,,
BCIN02G08150,0.269249163,0,,
BCIN11G03150,0.269248158,0,,
BCIN06G01300,0.269240121,0,,
BCIN16G04720,0.269187374,0,,
